gene,CONSEL_hypo0,IQTree_hypo0,IQTree2_hypo0
ycf2_ge,0.014*s,0.0113*s,0.013*s
rps12_ge,0.008*s,0.00593*s,0.00475*s
psbC_ge,0.011*s,0.0139*s,0.0127*s
rps19_ge,0.011*s,0.0117*s,0.0118*s
psbT_ge,0.0004*s,0.00252*s,0.000591*s
psaI_ge,0.001*s,0.00135*s,0.00178*s
rps11_ge,0.035*s,0.0347*s,0.0327*s
atpA_ge,0.103s,0.0962s,0.0957s
rpl36_ge,1e-06*s,9.8e-05*s,0.000162*s
psbJ_ge,2e-05*s,7.31e-06*s,2.32e-06*s
ycf3_ge,0.024*s,0.0265*s,0.0208*s
psbN_ge,0.004*s,0.00238*s,0.00386*s
cemA_ge,0*s,0.138s,0.152s
petG_ge,4e-10*s,7.57e-08*s,5.09e-07*s
psaB_ge,0.099s,0.0973s,0.109s
rps8_ge,0.006*s,0.00744*s,0.0096*s
rps14_ge,0.036*s,0.0382*s,0.0412*s
psbE_ge,9e-05*s,0.000396*s,0.000363*s
rpl16_ge,0.057s,0.0634s,0.0572s
ndhK_ge,0.25s,0.247s,0.257s
ndhI_ge,0.03*s,0.0282*s,0.0256*s
psaA_ge,0.147s,0.149s,0.14s
atpB_ge,0.037*s,0.0421*s,0.037*s
rbcL_ge,0.003*s,0.00179*s,0.00205*s
rpoC1_ge,0.035*s,0.0379*s,0.0315*s
accD_ge,0.121s,0.129s,0.124s
rpoB_ge,0.069s,0.0717s,0.0586s
psbM_ge,0.0003*s,0.000293*s,0.000344*s
petA_ge,0.023*s,0.024*s,0.0247*s
psbI_ge,6e-05*s,0.000478*s,1.59e-05*s
petN_ge,3e-05*s,3.61e-06*s,9.47e-05*s
psbH_ge,0.07s,0.0676s,0.0667s
psaJ_ge,9e-05*s,0.0118*s,0.0121*s
ndhC_ge,0.034*s,0.0274*s,0.0285*s
rpl20_ge,0.014*s,0.013*s,0.0126*s
matK_ge,0.028*s,0.0189*s,0.021*s
atpF_ge,0.004*s,0.00395*s,0.00416*s
rpl2_ge,0.07s,0.0736s,0.0702s
atpI_ge,0.063s,0.0591s,0.0577s
rpl32_ge,0.087s,0.0947s,0.0896s
psbD_ge,8e-09*s,0.000249*s,2.87e-06*s
rps4_ge,0.021*s,0.0207*s,0.0208*s
psbK_ge,0.195s,0.186s,0.193s
rpl33_ge,0.002*s,0.00277*s,0.00196*s
rpoC2_ge,0.305s,0.297s,0.307s
ndhG_ge,0.048*s,0.0546s,0.0465*s
ndhE_ge,0.013*s,0.0109*s,0.0101*s
psaC_ge,0.002*s,0.000516*s,0.000496*s
rps16_ge,0.083s,0.083s,0.0721s
petL_ge,0.002*s,0.00215*s,0.0017*s
ndhJ_ge,0.003*s,0.00219*s,0.00116*s
ndhF_ge,0.091s,0.0979s,0.0812s
psbL_ge,0.001*s,0.000998*s,0.000766*s
rpl14_ge,0.014*s,0.0165*s,0.0134*s
petD_ge,0.332s,0.329s,0.33s
atpE_ge,0.112s,0.113s,0.121s
ycf1_ge,0.131s,0.132s,0.132s
ndhB_ge,0.016*s,0.0176*s,0.018*s
ndhH_ge,0.075s,0.0746s,0.071s
psbB_ge,0.193s,0.205s,0.188s
ndhA_ge,0.091s,0.0795s,0.0886s
rps3_ge,0.212s,0.221s,0.201s
rps15_ge,0.081s,0.0738s,0.0712s
ccsA_ge,0.099s,0.104s,0.104s
rps18_ge,0.056s,0.0496*s,0.054s
rpoA_ge,0.029*s,0.0375*s,0.0312*s
atpH_ge,0.026*s,0.0218*s,0.0229*s
psbZ_ge,0.003*s,0.0029*s,0.00383*s
rps2_ge,0.056s,0.047*s,0.0546s
psbA_ge,0.045*s,0.0552s,0.048*s
psbF_ge,2e-14*s,2.63e-05*s,5.5e-05*s
rpl22_ge,0.01*s,0.00983*s,0.0149*s
rpl23_ge,0.009*s,0.00978*s,0.00887*s
clpP_ge,0.149s,0.15s,0.151s
ycf4_ge,0.024*s,0.0216*s,0.0257*s
rps7_ge,0.012*s,0.0142*s,0.0102*s
ndhD_ge,0.05*s,0.0637s,0.0603s
petB_ge,0.077s,0.0864s,0.0882s
